Skill,Skill Code,Description,Guidance Notes,Category,Sub-category,Levels,Assignee,Status,Label
92 - Service catalogue management,SCMG,Providing a source of consistent information about available services and products to customers and users.,"Activities may include — but are not limited to:
- publishing and maintaining information about available services
- tracking the list of available services as new services are introduced and current services are amended or retired
- making the catalogue useful and easy to use
- customising the information published according to the needs of specific audiences — such as for users — for customers, for service providers
- supporting discussion of standard and non-standard service offerings
- enabling automation of service requests and service fulfilment where appropriate.
The information documented in the service catalogue includes — but is not limited to — service names and descriptions, features, value propositions, costs, service support levels and availability.",Delivery and operation,Strategy and planning,"3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
93 - Service level management,SLMO,"Agreeing targets for service levels and assessing, monitoring, and managing the delivery of services against the targets.","Activities may include — but are not limited to:
- planning, implementation, control, review and audit of service provision, to meet customer business requirements
- negotiating, implementing and monitoring service level agreements
- managing operational facilities to provide the agreed levels of service
- identifying opportunities to improve service delivery
- implementing service level management practices to support cloud-based services
- identifying future trends and their impact on service delivery — for example — technical, market, industrial, socioeconomic, legislative or sustainability targets.
",Delivery and operation,Strategy and planning,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
94 - Software configuration,PORT,Designing and deploying software product configurations into software environments or platforms.,"This skill is typically applied to the design and deployment of configurations of large, complex software.
This includes — but is not limited to:
- software for enterprise resource planning (ERP) and customer relationship management
- server/mainframe operating systems
- software as a service (SaaS) solutions
- integration platforms/suites
- tools provided by infrastructure as a service (IaaS) and platform as a service (PaaS) providers.
Activities may include — but are not limited to:
- porting of software configuration across different environments or platforms
- refactoring of complex or overlapping configurations across different modules and capabilities within software solutions.
Depending on requirements and the characteristics of the project or assigned work — software configuration methods and life cycles can be predictive (plan-driven) approaches or adaptive (iterative/agile) approaches.
",Delivery and operation,Strategy and planning,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
95 - Software design,SWDN,Specifying and designing software to meet defined requirements by following agreed design standards and principles.,"Activities may include — but are not limited to:
- designing software applications, components, interfaces and related characteristics (including security)
- using design concepts and patterns to develop software design and provide the basis for software construction and verification
- evaluating alternative solutions and trade-offs to facilitate design decisions
- taking into account functional and non-functional requirements such as the target environment, performance, security and existing systems
- developing prototypes/simulations to enable informed decision-making
- adopting and adapting software design models, tools and techniques based on the context of the work.
Depending on requirements and project or work assigned characteristics, software design techniques can be predictive (plan-driven) or adaptive (iterative/agile) approaches.",Delivery and operation,Strategy and planning,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
96 - Solution architecture,ARCH,Developing and communicating a multi-dimensional solution architecture to deliver agreed business outcomes.,"Activities may include — but are not limited to:
- defining the planned operation and maintenance of the solution within a production environment — include changes to services, process, organisation, and operating models as well as technology 
- ensuring that existing and planned solution components are compatible with relevant architectures, strategies, policies, standards and practices 
- considering requirements for security, privacy and testing of solutions
- taking account of relevant architectures, strategies, policies, standards and practices 
- identifying appropriate cloud services
- developing roadmaps to migrate components to cloud services
- developing and communicating an implementation roadmap 
- providing guidance and risk-based governance to support solution implementation including managing requests for changes and deviations from specifications.
",Delivery and operation,Strategy and planning,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
97 - Sourcing,SORC,"Managing, or providing advice on, the procurement or commissioning of products and services.","Activities may include — but are not limited to:
- providing policies and standards for procurement
- commercial governance, compliance to legislation and assurance of information security
- implementing compliant procurement processes, taking full account of the issues and imperatives of both the commissioning and supplier sides
- clarifying requirements for products and services
- identifying, evaluating and selecting suppliers 
- evaluating tenders
- developing ""build or buy"" criteria
- evaluating and purchasing cloud-based services
- benchmarking supplier performance 
- placing, monitoring and terminating contracts.
",Delivery and operation,Strategy and planning,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
98 - Specialist advice,TECH,Providing authoritative advice and direction in a specialist area.,"The skill includes developing and exploiting specialist knowledge.
The expertise and specialist knowledge may relate to a specific area of information or communications technology, digital working, techniques, methodologies, products or application areas.
It may also include the application of professional knowledge in other disciplines to information and technology topics. These include disciplines such as — but not limited to — legal, finance, public relations, communications, ethics, human resources management.",Delivery and operation,Strategy and planning,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
99 - Stakeholder relationship management,RLMT,"Influencing stakeholder attitudes, decisions, and actions for mutual benefit.","Activities may include — but are not limited to:
- identifying stakeholders and analysing the relationships
- agreeing on mutually beneficial outcomes
- managing, monitoring and improving stakeholder relationships 
- determining the relationship management approach to take — including roles and responsibilities, governance, policies, processes, tools and support mechanisms
- getting commitment to action through consultation and consideration of impacts.
- combining formal and informal communication channels to achieve the desired result
- operational management of stakeholder relationships and communications.
The focus of this skill is a systematic and planned approach. This skill is not intended for general communication and developing productive working relationships. Those factors are described in SFIA's generic attributes and levels of responsibility.",Delivery and operation,Strategy and planning,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
100 - Storage management,STMG,"Planning, implementing and optimising the technologies and processes used for data storage.","Storage management includes managing local or external storage such as direct access storage (DAS), network access storage (NAS), storage area networks (SAN) and cloud-based storage. 
Storage management technologies and processes includes — but are not limited to — virtualisation, replication, mirroring, security, compression, traffic analysis, process automation, storage provisioning and related techniques.
Activities may include — but are not limited to:
- backup, archiving and recovery of data
- ensuring compliance with regulatory and security requirements
- addressing business goals based on information value, data classification, recovery point and recovery time objectives.
",Delivery and operation,Strategy and planning,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
101 - Strategic planning,ITSP,"Creating and maintaining a strategy to align organisational actions, plans and resources with business objectives.","Activities may include — but are not limited to:
- iterating and reviewing strategic plans 
- developing plans to drive forward and execute strategy
- working with stakeholders to communicate and embed strategic management via objectives, accountabilities and progress monitoring.
",Delivery and operation,Strategy and planning,"""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
102 - Subject formation,SUBF,"Specifying, designing and developing curricula within a structured and systematic education environment.","Subject formation focuses on:
- developing curricula to support the development of understanding of the principles, approaches and practices that underpin specific topics and knowledge areas 
- incorporating significant emerging technologies and techniques for which current students need to be prepared. 
The scope may include curricula for formal education or for independent examination bodies.
This skill is generic and can be applied to curriculum design and development for any topic or knowledge area. In the context of the SFIA framework — this includes:
- the topics and knowledge areas that support any skills described in the SFIA framework
- and the application of these topics and knowledge areas to other disciplines and practices.
In the context of computing and IT curricula — the topics addressed are typically:
- common digital skills needed to safely benefit from, participate in and contribute to the digital world for everyday life and for work
- fundamental and more advanced aspects of specific topics and knowledge areas including emerging technologies and new applications for existing technologies
- the ideas of computational thinking and the application of computational concepts to everyday life and professional working practices.
",Delivery and operation,Technology management,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
103 - Supplier management,SUPP,"Aligning the organisation’s supplier performance objectives and activities with sourcing strategies and plans, balancing costs, efficiencies and service quality.","Activities may include — but are not limited to:
- establishing working relationships based on collaboration, trust, and open communication
- encouraging co-innovation and service improvement with suppliers
- proactively engaging suppliers for mutual benefit to resolve operational incidents, problems, poor performance and other sources of conflict
- implementing supplier management practices to support cloud-based services
- implementing clear escalation paths for discussing and resolving issues
- managing performance and risks across multiple suppliers (internal and external) using a set of agreed metrics
- ensuring compliance to legislation
- commercial governance and supply chain management
- managing risks associated with security, continuity and integrity of supply
- implementing policies for selection of suppliers and bench-marking supplier performance.
",Delivery and operation,Technology management,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
104 - Sustainability,SUST,"Providing advice, assistance and leadership to enable the organisation to minimise negative environmental impact.","Activities may include — but are not limited to:
- developing policies, standards and guidelines to minimise the negative environmental impact of factors such as — but not limited to — hardware, software, networks, storage, power supply, care, maintenance and disposal of assets, paper, packaging or transport
- advising on regulations and standards
- benchmarking and establishing metrics and dashboards
- communicating and promoting sustainability policies and programmes.
",Delivery and operation,Technology management,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
105 - System software,SYSP,"Installing, managing, controlling, deploying and maintaining infrastructure systems software, to meet operational needs and service levels.","The term system software refers to operating systems, utilities and middleware that are essential elements of the IT Infrastructure and which enable applications to run.
System software may run in cloud, virtual or physical hardware environments and includes — but is not limited to — operating systems, hypervisors, function libraries and device drivers, networking, database and storage management products, and system utilities.
Activities may include — but are not limited to:
- monitoring and optimising the performance of system software
- resolving potential and actual service problems
- evaluating new system software
- reviewing system software updates 
- provisioning and testing system software updates 
- adhering to established safety, security and quality standards.
",Delivery and operation,Technology management,"3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
106 - Systems and software life cycle engineering,SLEN,"Establishing and deploying an environment for developing, continually improving, and securely operating software and systems products and services.","This skill is associated with interdisciplinary approaches to developing and operating software and systems products and services across the full life cycle. Typically — but not exclusively — labelled with terms such as DevOps, DevSecOps, site reliability engineering, developer productivity engineering.
Activities include — but are not limited to:
- establishing secure and reliable software lifecycle principles and practices
- developing a supporting framework of methods, procedures, techniques, tools, and people with required skills, knowledge and competencies
- deploying and using this environment with the people and teams that are responsible for all systems and software life cycle engineering
- building repeatable and reliable capabilities through a process of trial, feedback, learning and continual evolution
- adapting working practices to the needs of specific products and services
- defining, controlling and improving software life cycle processes
- building in risk management, quality, security, privacy and safety
- maximising the automation of activities
- establishing software architecture and design principles to enable the desired life cycle processes
- focusing on mission, value and customers
- establishing a culture of collaboration, learning, knowledge management, adaptation and resilience
- adopting and integrating appropriate industry frameworks to guide improvements
",Delivery and operation,Technology management,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
107 - Systems design,DESN,Designing systems to meet specified requirements and agreed systems architectures.,"Activities may include — but are not limited to:
- using design concepts to develop system design and provide the basis for systems construction and verification
- designing or selecting system components
- designing systems compatible with cloud computing architectures and selection of components such as infrastructure as a service, platform as a service and software as a service
- developing a complete set of detailed models, properties, and/or characteristics described in a form suitable for implementation
- adopting and adapting of system design life cycle models based on the context of the work using predictive (plan-driven) approaches or adaptive (iterative/agile) approaches for system design
- adhering to regulatory requirements and organisational standards including security.
",Delivery and operation,Technology management,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
108 - Systems development management,DLMG,"Planning, estimating and executing systems development work to time, budget and quality targets.","Activities may include — but are not limited to:
- adopting and adapting systems development life cycle models based on the context of the work and selecting appropriately from predictive (plan-driven) approaches or adaptive (iterative/agile) approaches
- collaboration and open communication with stakeholders with a focus on delivering value from systems development
- managing risks and allowing for timely adjustment of plans and deliverables to continue to meet customer requirements and deliver value
- aligning systems development activity and deliverables with architectures and standards and ensuring quality, security and privacy are built in 
- developing roadmaps to communicate systems development plans
- identifying the resources needed for all stages (planning, estimation, execution) of systems development projects and how demand will be met with a supply capacity.
",Delivery and operation,User experience,"""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
109 - Systems installation and removal,HSIN,"Installing and testing, or decommissioning and removing, systems or system components.","Systems or systems components may include — but are not limited to — hardware, software, cabling, wiring, and monitoring equipment.
Activities may include — but are not limited to:
- developing and following plans and instructions in accordance with agreed standards
- adhering to established safety, security and quality standards
- testing of hardware and software components, resolution of malfunctions, and recording of results
- documenting the details of hardware and software installed so that configuration management records can be updated
- safe disconnection, decommissioning and removal of systems or system components.
",Delivery and operation,User experience,"1 - Follow,2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
110 - Systems integration and build,SINT,"Planning, implementing and controlling activities to synthesise system components to create operational systems, products or services.","The scope of integration includes system elements, subsystems and interfaces including computing, storage, networking and cloud services.
Systems integration is used to create systems for testing purposes as well as for operational use by customers and users.
Activities may include — but are not limited to:
- developing organisational capabilities, processes and procedures for automation and continuous integration of build, packaging, testing, security and deployment
- building and operating a continuous integration (CI) capability when required employing version control of source code and related artefacts
- ensuring security and privacy requirements are an essential part of systems integration and build
- testing, validation and sign off of integration to satisfy requirements, architectures and design
- monitoring and controlling integration activities and recording and reporting on the results of integration
- keeping stakeholders informed and providing feedback into risk management processes
- developing and testing disaster recovery plans and applying incident management processes for major systems integrations.
",Delivery and operation,User experience,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
111 - Teaching,TEAC,Delivering and assessing curricula in a structured and systematic education environment.,"Teaching focuses on:
- developing an understanding of the principles, approaches and practices that underpin a specified topic or knowledge area
- the methods, techniques and practice of teaching (pedagogy).
This skill is generic and can be applied to the teaching of any topic or knowledge area. In the context of the SFIA framework — this includes:
- the topics and knowledge areas supporting any of the skills described in the SFIA framework
- and the application of these topics and knowledge areas to other disciplines and practices.
In the context of computing and IT curricula – the topics addressed are typically:
- common digital skills needed to safely benefit from, participate in and contribute to the digital world for everyday life and work
- fundamental and more advanced aspects of specific topics and knowledge areas including emerging technologies and new applications for existing technologies
- the ideas of computational thinking and the application of computational concepts to everyday life and professional working practices.
",Delivery and operation,User experience,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
112 - Technology service management,ITMG,Managing the provision of technology-based services to meet defined organisational needs.,"Activities may include — but are not limited to:
- gathering data from a variety of open or proprietary intelligence sources
- processing and classifying threat data to make it useful and actionable by others
- packaging the data for use by consumers of the information
- enabling the use of the data automatically by security tools
- providing threat intelligence to help others mitigate vulnerabilities or to respond to security incidents.
",Delivery and operation,User experience,"""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
113 - Testing,TEST,"Investigating products, systems and services to assess behaviour and whether this meets specified or unspecified requirements and characteristics.","The scope of testing includes technology, system components, configurations, packages and their interfaces. This skill is applicable to all testing methodologies — which can be delivered using predictive (plan-driven) approaches or adaptive (iterative/agile) approaches. 
Activities may include — but are not limited to:
- planning, designing, managing, executing and reporting of tests
- functional testing of capabilities or features
- non-functional testing of qualities such as — but not limited to — performance, security, access, backup and recovery, archiving and retention, robustness, availability, capacity, scalability, reliability, performance, stress, volume, maintainability and portability
- static testing and static analysis
- managing risks associated with testing and taking preventative action when needed
- adopting and adapting testing methods including waterfall, incremental or agile approaches
- conforming to agreed process standards, industry-specific regulations and data protection legislation
- engineering, using and maintaining testware to measure and improve the quality of the software being tested
- promoting productivity through test automation, tools and best practices
- developing scalable and reliable automated tests and frameworks.
",Delivery and operation,User experience,"1 - Follow,2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
114 - Threat intelligence,THIN,Developing and sharing actionable insights on current and potential security threats to the success or integrity of an organisation.,"Activities may include — but are not limited to:
- gathering data from a variety of open or proprietary intelligence sources
- processing and classifying threat data to make it useful and actionable by others
- packaging the data for use by consumers of the information
- enabling the use of the data automatically by security tools
- providing threat intelligence to help others mitigate vulnerabilities or to respond to security incidents.
",Delivery and operation,User experience,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
115 - User experience analysis,UNAN,"Understanding the context of use for systems, products and services and specifying user experience requirements and design goals.","This skill is inclusive of a full range of user tasks not just digital tasks. The skill can be applied in various contexts — such as — but not limited to customer experience, products, services, applications, devices, learning experience and employee experience.
Activities may include — but are not limited to:
- identifying, analysing, clarifying, and communicating the context of use
- describing users’ goals, tasks and the environment within which the systems, products, services or devices will be used
- creating and describing personas to represent key user segments
- developing user stories or requirements to describe features or capabilities 
- agreeing user experience design goals
- analysing and prioritising user experience needs with stakeholders
- understanding and specifying user experience and user accessibility requirements for all potential users.
",Delivery and operation,User experience,"3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
116 - User experience design,HCEV,"Producing design concepts and prototypes for user interactions with and experiences of a product, system or service.","This skill is inclusive of a full range of user tasks not just digital tasks. The skill can be applied in various contexts — such as — but not limited to customer experience, products, services, applications, devices, learning experience and employee experience.
Activities may include — but are not limited to:
- understanding and addressing design goals, usability and accessibility requirements
- using an iterative design process to enhance user satisfaction by improving usability and accessibility 
- designing digital and offline tasks, interactions and interfaces
- refining designs in response to user experience evaluation 
- communicating the design to those responsible for design, development and implementation of products, systems and services
- sketching, ideation, creating storyboards, static wireframes or dynamic prototypes
- developing alternative design and evaluating advantages, disadvantages, constraints and trade-offs.
",Delivery and operation,User experience,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
117 - User experience evaluation,USEV,"Validating systems, products or services against user experience goals, metrics and targets.","This skill is inclusive of a full range of user tasks not just digital tasks. The skill can be applied in various contexts — such as — but not limited to customer experience, products, services, applications, devices, learning experience and employee experience.
Evaluation is typically part of an iterative user experience design process and contributes to the improvement of the product or service. An evaluation can also be the starting point if an existing system, product or service is to be replaced or improved. Methods include user trials, expert review, survey and analysis.
Activities may include — but are not limited to:
- providing assurance that user stories or requirements have been met and required practice has been followed to address accessibility, usability, security, health and safety
- applying a range of qualitative and quantitative evaluation techniques
- selecting from lightweight/rapid techniques or more thorough and resource-intensive approaches
- selecting appropriate use of formative or summative evaluations.
- facilitating both moderated and unmoderated tests.
",Delivery and operation,User experience,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
118 - User research,URCH,"Identifying users' behaviours, needs and motivations using observational research methods.","This skill is inclusive of a full range of user tasks not just digital tasks. The skill can be applied in various contexts — such as — but not limited to customer experience, products, services, applications, devices, learning experience and employee experience.
User research has a different set of responsibilities to academic research or user requirements elicitation. User research incorporates significant involvement of users to generate deep understanding and uncover new opportunities for systems, products, services or devices. 
Activities may include — but are not limited to: 
- using ethnography, observation techniques, task analysis, and other methodologies that incorporate both the social and technological context
- quantifying different user populations and their needs
- identifying target users and segments in order to maximise the chances of design success for systems, products, services, or devices
- including a range of users in research activities to capture the diversity of users' behaviours, needs and motivations.
",Delivery and operation,User experience,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
119 - Vulnerability assessment,VUAS,"Identifying and classifying security vulnerabilities in networks, systems and applications and mitigating or eliminating their impact.","Activities may include — but are not limited to:
- cataloguing and classifying information and technology resources (assets and capabilities) to support vulnerability assessment
- assigning quantifiable value, rank order and importance to information and technology resources
- identifying and analysing the vulnerabilities of each resource — manually or using automated tools and information sources
- prioritising, scoring and ranking the risk associated with vulnerabilities
- business impact assessment
- mitigating or eliminating the vulnerabilities.
Vulnerability assessment tools include web application scanners, protocol scanners and network scanners.",Delivery and operation,User experience,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
120 - Vulnerability research,VURE,"Conducting applied research to discover, evaluate and mitigate new or unknown security vulnerabilities and weaknesses.","A security vulnerability is a weakness, flaw or error found within a security system that has the potential to be leveraged by an external agent to compromise a secure system.
Activities may include — but are not limited to:
- researching new threats, attack vectors, risks and potential solutions
- reverse engineering hardware or software 
- applying tools such as disassemblers, debuggers and fuzzers 
- analysing embedded devices
- developing techniques and tools to analyse and expose vulnerabilities
- designing new vulnerability discovery techniques
- sharing mitigation techniques with relevant stakeholders.
",Delivery and operation,User experience,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
121 - Workforce planning,WFPL,Estimating the demand for people and skills and planning the supply needed to meet that demand.,,Delivery and operation,User experience,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
